Ticker,"Sustainalytics ESG Risk Score 
 2012-01","Sustainalytics ESG Risk Score 
 2012-02","Sustainalytics ESG Risk Score 
 2012-03","Sustainalytics ESG Risk Score 
 2012-04","Sustainalytics ESG Risk Score 
 2012-05","Sustainalytics ESG Risk Score 
 2012-06","Sustainalytics ESG Risk Score 
 2012-07","Sustainalytics ESG Risk Score 
 2012-08","Sustainalytics ESG Risk Score 
 2012-09","Sustainalytics ESG Risk Score 
 2012-10","Sustainalytics ESG Risk Score 
 2012-11","Sustainalytics ESG Risk Score 
 2012-12","Sustainalytics ESG Risk Score 
 2013-01","Sustainalytics ESG Risk Score 
 2013-02","Sustainalytics ESG Risk Score 
 2013-03","Sustainalytics ESG Risk Score 
 2013-04","Sustainalytics ESG Risk Score 
 2013-05","Sustainalytics ESG Risk Score 
 2013-06","Sustainalytics ESG Risk Score 
 2013-07","Sustainalytics ESG Risk Score 
 2013-08","Sustainalytics ESG Risk Score 
 2013-09","Sustainalytics ESG Risk Score 
 2013-10","Sustainalytics ESG Risk Score 
 2013-11","Sustainalytics ESG Risk Score 
 2013-12","Sustainalytics ESG Risk Score 
 2014-01","Sustainalytics ESG Risk Score 
 2014-02","Sustainalytics ESG Risk Score 
 2014-03","Sustainalytics ESG Risk Score 
 2014-04","Sustainalytics ESG Risk Score 
 2014-05","Sustainalytics ESG Risk Score 
 2014-06","Sustainalytics ESG Risk Score 
 2014-07","Sustainalytics ESG Risk Score 
 2014-08","Sustainalytics ESG Risk Score 
 2014-09","Sustainalytics ESG Risk Score 
 2014-10","Sustainalytics ESG Risk Score 
 2014-11","Sustainalytics ESG Risk Score 
 2014-12","Sustainalytics ESG Risk Score 
 2015-01","Sustainalytics ESG Risk Score 
 2015-02","Sustainalytics ESG Risk Score 
 2015-03","Sustainalytics ESG Risk Score 
 2015-04","Sustainalytics ESG Risk Score 
 2015-05","Sustainalytics ESG Risk Score 
 2015-06","Sustainalytics ESG Risk Score 
 2015-07","Sustainalytics ESG Risk Score 
 2015-08","Sustainalytics ESG Risk Score 
 2015-09","Sustainalytics ESG Risk Score 
 2015-10","Sustainalytics ESG Risk Score 
 2015-11","Sustainalytics ESG Risk Score 
 2015-12","Sustainalytics ESG Risk Score 
 2016-01","Sustainalytics ESG Risk Score 
 2016-02","Sustainalytics ESG Risk Score 
 2016-03","Sustainalytics ESG Risk Score 
 2016-04","Sustainalytics ESG Risk Score 
 2016-05","Sustainalytics ESG Risk Score 
 2016-06","Sustainalytics ESG Risk Score 
 2016-07","Sustainalytics ESG Risk Score 
 2016-08","Sustainalytics ESG Risk Score 
 2016-09","Sustainalytics ESG Risk Score 
 2016-10","Sustainalytics ESG Risk Score 
 2016-11","Sustainalytics ESG Risk Score 
 2016-12","Sustainalytics ESG Risk Score 
 2017-01","Sustainalytics ESG Risk Score 
 2017-02","Sustainalytics ESG Risk Score 
 2017-03","Sustainalytics ESG Risk Score 
 2017-04","Sustainalytics ESG Risk Score 
 2017-05","Sustainalytics ESG Risk Score 
 2017-06","Sustainalytics ESG Risk Score 
 2017-07","Sustainalytics ESG Risk Score 
 2017-08","Sustainalytics ESG Risk Score 
 2017-09","Sustainalytics ESG Risk Score 
 2017-10","Sustainalytics ESG Risk Score 
 2017-11","Sustainalytics ESG Risk Score 
 2017-12","Sustainalytics ESG Risk Score 
 2018-01","Sustainalytics ESG Risk Score 
 2018-02","Sustainalytics ESG Risk Score 
 2018-03","Sustainalytics ESG Risk Score 
 2018-04","Sustainalytics ESG Risk Score 
 2018-05","Sustainalytics ESG Risk Score 
 2018-06","Sustainalytics ESG Risk Score 
 2018-07","Sustainalytics ESG Risk Score 
 2018-08","Sustainalytics ESG Risk Score 
 2018-09","Sustainalytics ESG Risk Score 
 2018-10","Sustainalytics ESG Risk Score 
 2018-11","Sustainalytics ESG Risk Score 
 2018-12","Sustainalytics ESG Risk Score 
 2019-01","Sustainalytics ESG Risk Score 
 2019-02","Sustainalytics ESG Risk Score 
 2019-03","Sustainalytics ESG Risk Score 
 2019-04","Sustainalytics ESG Risk Score 
 2019-05","Sustainalytics ESG Risk Score 
 2019-06"
ACI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,46,46,46,46,46,46,46,46,46,45,45
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,69,69,69,69,,69,69,70,67,67,,67,67,66,66,66,66,68,68,68,68
ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
ALEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,45,,,,,45,45,44,44,44,44,44,44,43,,43,43,43,43,43,43,43,43,47,47,47,47,47,47,47,47,47,47,47
ALX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,42,42,42,42,42,42,41,,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,43
ARE,50,49,49,49,49,49,49,52,52,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,60,60,60,,,,60,,,60,60,60,,60,60,56,,,56,56,56,55,55,55,55,57,57,57,,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
AQN,55,55,55,55,55,56,55,55,,54,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,55,,,,55,55,55,,55,55,55,55,55,55,55,55,,55,55,,55,55,55,55,55,55,55,55,58,58,58,58,58,58,58,58,58,58,58,58,63,63,63,63,63,63,63,63,63,63,63,63
BABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,48,,,,,46,45,45,,43,43,42,,42,,42,,42,42,42,38,,38,39,,,,39,39,39,39,39,39,39,48,48,50,50,50,51,51,51,51,49,49,49,49,49,49,49,49,49,51,51,51,51,51
ALIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,50,50,50,50,50,50,50,41,,42,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,47,47,47,,47,47,47,47,47,47,47,47,,47,47,,47,,47,47,47,47,47,,47,47,47,47,47,47,,49,49,49,49,49,,49,49,49,49,49,49,50,50,50,50,50
ALLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,49,49,49,,56,56,,,,56,56,56,,56,56,,,56,,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,56,56,56,56,56,56,56,56,56,56,56
ALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,51,,51,51,,51,51,53,53,53,51,51,51,52,52,52,52,52,52,52,52,56,55,55,55,55,55,55,55,55,55,55,58,58
AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,52,,,,,52,52,,51,51,51,51,51,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,54
ALL,56,56,56,56,56,56,56,56,,,,,54,,,55,,,,,54,56,56,56,,59,,,,,,,,59,,62,,,61,,60,,59,59,59,,59,58,61,61,61,61,61,59,,59,59,,,,59,59,59,59,58,,58,58,58,59,59,59,,59,59,59,59,59,,59,62,63,62,62,62,62,62,62,62,62
ALLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47,47,47,,47,,47,47,47,47,47,47,47,47,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,48,48,,48,48,48,48,48,48,48,48,48,48,48
ALTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47
ATUS,48,48,48,48,48,48,48,48,,,,,49,,,,,,,,,48,,,,48,,48,,,47,,,,,48,47,,,,,,46,46,46,,46,46,46,46,46,46,46,46,46,46,46,46,46,46,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45
MO,67,67,67,67,66,66,66,68,,,,,,,,,,,69,68,,,,,,69,,69,69,,69,,63,,,,,63,63,,,,62,62,62,,62,62,61,61,61,61,61,62,62,62,62,62,64,64,64,64,64,64,64,64,64,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,63,63,63,63,63,63
ACH,48,48,48,48,48,48,48,48,,,,,,48,,,,,,,46,52,,,,52,,,,,,,,,,,,,,,,,52,52,52,,52,52,52,52,52,52,52,52,52,52,52,,,52,51,51,51,51,59,59,59,59,59,57,57,57,57,,57,57,57,57,57,,50,50,50,50,49,49,49,48,48,48
AMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,46,,46,,,,,,46,46,45,,45,45,45,47,47,47,,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47
ABEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,,,,,,,,,,,57,57,57,,,67,67,,,65,65,65,,65,65,65,,65,,64,62,62,62,62,62,62,62,60,60,60,62,63,63,63,63,62,62,62,62,62,62,62,62,61,64,64,64,64
AMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,46,,,,,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48
AMCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,57,57,57,57,56,57,55,55,,,,,,,55,,56,,,59,58,,,,,60,,58,,,,,61,,,,,,,,,,60,60,61,,61,61,61,61,61,61,61,61,,62,65,,65,64,64,64,64,65,65,65,65,65,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,62,62,62,62,62,62,62
AMRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,46,,,,46,46,46,46,46,,46,46,46,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50
AMX,41,41,41,41,40,48,48,48,,,,,,,,,,,,,,48,,50,,51,50,,,,,,,,,,,,,,52,,50,50,49,,,54,54,54,54,54,54,54,,54,54,,,,,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,61,61,61,61,61,61,62,62,62,62,62,62
AMOV,41,41,41,41,40,48,48,48,,,,,,,,,,,,,,48,,50,,51,50,,,,,,,,,,,,,,52,,50,50,49,,,54,54,54,54,54,54,54,,54,54,,,,,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,61,61,61,61,61,61,62,62,62,62,62,62
AAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,47,,,,,,47,46,46,46,46,46,46,46,,46,46,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,48,48
AXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,51,,,,51,,51,51,51,52,52,52,52,55,55,55,55,55,55,59,59,59,59,59,59,59,59,59,59,59,59,63,63,63
ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,51,,,,,,51,,52,52,52,52,52,52,,52,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54
AEO,58,58,58,58,56,57,57,56,,,,,,57,,,,,,,,,,,,55,,54,,,,,,,,,54,,53,,,,50,50,50,,50,50,50,,50,50,50,50,,50,50,,,,50,52,52,52,52,52,52,52,52,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,55,55,55,55,55
AEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,47,,,,,,47,47,46,,46,46,46,47,47,47,,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47
AXP,60,60,60,59,58,58,58,58,59,,,,,,,59,,,,,,57,,,,59,,,,58,,,,,,,58,,58,59,56,,55,55,55,,56,55,55,,55,55,56,56,,56,56,58,58,57,,57,57,56,56,56,56,56,56,58,58,58,59,59,59,59,59,59,,57,58,58,58,58,58,58,58,58,58,58
AFG,49,49,49,49,49,49,49,48,,,,49,,,,,,,,,49,,,,,49,,,,,,,,,,,,,49,,,,49,49,49,,49,,49,49,,49,49,49,,49,49,,,49,,49,49,50,50,,50,50,50,48,48,48,,48,48,48,48,48,,48,48,48,48,48,48,48,48,48,48,48
AMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
AIG,45,45,45,45,45,44,44,44,,,,,45,,,,,46,,,,47,,,,50,,,,,,,,,,53,,,52,,,,52,52,52,,52,52,52,53,53,54,53,53,53,53,53,,,,53,53,53,54,56,,55,55,55,56,56,56,,56,56,56,56,56,,56,56,56,54,54,54,54,54,54,54,54
AWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,51,,51,51,,51,51,51,51,51,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,57,57
AMT,49,45,45,45,45,45,45,62,62,61,,,,,,,60,,61,,,,,,,,,,,,,,,,,,66,,,,,,63,63,63,,63,63,65,,65,65,65,65,,65,65,,,,65,53,53,53,53,53,53,53,53,53,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
AVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,45,45,,,,45,,45,45,47,,47,47,47,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,49,49,49,49,50,50
AWK,65,64,64,64,63,64,64,64,,,,,66,,,,65,,,,,72,,,,71,,,70,,,,,,,,71,72,73,,,,73,73,73,,,73,74,74,74,74,74,74,,74,74,,74,74,74,73,72,72,72,72,72,72,72,71,71,71,71,71,71,71,71,71,71,71,71,71,68,68,68,68,68,68,68,67
AMWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43
AMP,49,52,52,52,51,51,51,53,53,,,,,,,,,,,,53,,,,,54,,,54,,,,,54,,,,,54,,51,,52,52,52,,52,52,52,52,52,51,51,51,51,51,51,51,51,51,52,51,51,51,51,51,51,51,51,53,53,53,53,53,53,59,59,59,59,59,59,59,59,59,59,59,59,57,57,58
ABC,55,55,55,55,54,54,54,54,,,,,,,,55,,,,,,,,,,,,55,,,,,,,,,,,,,,,54,54,54,52,52,52,52,,52,52,52,52,,52,52,,,51,51,51,51,53,53,53,53,53,53,51,50,50,54,,54,54,54,54,54,54,54,54,54,53,53,52,52,52,52,54
AME,47,47,47,47,46,47,47,47,,,,,48,,,,,,,,,,47,,,47,,,,,,,,52,,,,,,,,,50,48,48,48,48,48,49,,49,49,49,49,,49,49,,,49,49,46,46,46,46,,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,45
AMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,50,,,,50,55,55,55,55,55,55,56,56,56,56,,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
AMRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,47,47
APH,50,46,46,46,45,46,46,47,,,,,,,,,,,,49,,,,,,,,,,,,,,52,,,,,,,,,53,53,53,,53,53,53,,53,53,53,53,,53,53,,,,53,53,53,55,55,55,55,55,59,59,59,59,59,59,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58
AOMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,60,60,60,60,58,59,58,58,,,,,,,57,,67,,,,,67,,,,67,,,68,,,,,,,,,,69,,,,70,70,,,74,,74,,74,74,70,70,,70,70,,,,71,71,71,70,70,70,70,70,70,68,67,67,67,67,67,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70
BUD,63,63,63,63,62,63,63,64,64,63,,,,,,63,,,63,,,63,,,,64,,65,66,,67,,70,,,,,,71,,,,69,69,69,,,69,70,,70,70,70,72,72,72,72,72,72,72,71,69,68,68,68,68,69,69,69,67,67,67,67,67,67,67,67,67,67,67,66,66,66,66,66,66,66,66,66,66
NLY,46,46,46,46,45,46,46,45,44,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,43,43,43,,43,43,45,,45,45,45,45,,45,45,,49,,49,47,47,47,47,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,46,46,46,46
AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,56,56,56,56,56
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,52,,51,,,,51,51,51,,51,51,51,51,51,51,51,51,,49,49,,,,49,49,49,49,49,49,49,49,48,50,50,50,50,50,50,50,50,,50,52,52,52,52,52,52,52,52,52,52,52
HOUS,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,57,,,,,,,,,,55,,,,56,56,56,,56,,58,,58,58,58,58,,58,58,,,,58,47,47,47,47,47,47,47,47,49,,49,49,49,49,49,48,48,48,48,48,48,49,49,49,49,49,49,49,49
AON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIV,50,49,49,49,49,49,49,49,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,50,,,,49,49,49,,49,50,50,50,50,50,51,51,51,51,51,,,,51,49,49,49,49,49,46,46,46,45,,45,45,45,45,45,45,45,48,48,48,48,48,48,48,48,48,48,48,48
APG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,43,43,43,43,43,43,42,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
APLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,44,44,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,44,44,44,,,,,,45,45,45
AIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,,51,,,51,,51,51,51,51,,51,51,51,53,53,53,53,53,,53,53,52,52,52,52,52,52,52,52,52,52,52,52,52
ATR,58,58,58,58,58,58,58,57,,,,,,,,,,,,,,,,,,,,57,59,,,,,,,,,,,,,,59,59,,,,59,59,,,59,59,59,,59,59,,,,,59,59,67,67,,67,67,67,66,66,66,66,66,66,66,66,72,72,72,72,72,72,72,,72,72,72,72,72
APTV,,,,,,,,,,67,,,,,,67,,,,,,,65,,,66,,,67,,,,,,,,63,,65,,,,63,63,63,,63,64,,,64,64,64,64,,69,68,,,,68,68,68,69,69,69,69,69,69,71,71,71,71,71,71,72,72,72,72,72,72,72,71,72,73,73,73,73,73,73
ARMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,52,52,52,52,54,,54,54,,,53,53,53,53,53,53,53,51,51,50,52,52,52,52,52,52,52,52,53,53,53,53,53,56,56,56,56,56,56,56,56
ABR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42,42
MT,62,62,62,62,62,63,61,66,67,68,,,,,,,68,,,69,,,,,,78,,79,,,,,78,,,76,,,75,,,,75,77,77,,77,77,77,77,77,77,77,76,76,76,76,,75,,75,75,75,75,75,75,75,75,77,75,75,75,75,75,75,75,75,75,75,75,75,75,74,75,74,74,75,75,75,75
ARCH,54,54,54,54,54,54,54,54,,,,,,,53,,,,,,52,,,,,56,,,58,,,,56,55,55,,,,,,,,53,53,53,,53,53,53,53,53,53,53,53,,53,53,53,,53,53,53,53,53,,,,52,52,47,47,47,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44
ADM,54,54,54,54,53,54,54,53,,,,51,,,,,,,,,,,50,,,51,,,,,,,51,,,56,,,56,,58,,58,58,58,58,58,57,57,,57,57,57,57,56,56,55,55,,56,56,57,57,57,57,57,57,58,58,57,57,58,58,58,58,58,58,57,57,57,57,57,57,58,58,56,56,57,57,56
AROC,62,62,62,62,62,62,62,61,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,60,60,,60,,,60,60,60,60,60,60,55,,54,54,54,,54,54,54,54,54,54,,54,54,54,54,51,51,51,51,51,51
ARNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,,54,54,54,54,54,54,53
ACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,41,41
ASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,52,53,53,53,,53,53,53,53,53,53,53,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51
ACRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,43,43,43,43,43,43,42,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,,
AGX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,46,,,,46,46,46,46,46,,46,46,46,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,45,45
ARGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,,,,48,48,47,,48,48,48,47,47,47,,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47
ANET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,45,,,,,45,45,52,52,52,52,52,52,51,51,51,51,51,51,51,52,52,52,52,52,54,54,54,54,54,52,52,52,55
ARLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50
AHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,44,44,44,44,44,44,43,,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46
ARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,43,43,43,43,43,43,43,,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42
AWI,60,60,60,60,59,60,60,59,,,,,,,62,,,,,,,,,,,62,,,,,,,,,,,,,,,,,61,61,,60,,60,60,,,60,60,60,,60,60,,,60,,60,60,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,54,54,54,54,54,54,54,54,54,54,54
ARW,52,52,52,52,52,52,52,51,,,,,,,,,,,54,,,,,,58,58,,,,,,,,,,57,,,,,,,56,56,56,,56,56,58,58,58,58,58,58,58,58,58,,,,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,60
AJG,50,50,50,50,50,50,50,50,,,,52,,,,,,,,,,,,,,,,,,52,,,,,,,,,53,,,,53,53,58,,,59,59,,,59,52,52,,52,52,,,52,52,52,52,52,52,,52,52,52,54,54,54,,54,54,54,54,54,,54,55,55,55,55,55,54,54,54,54,54
APAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,46,46,46,46,45,45,45,,45,45,45,45,45,45,45,45,45,45,45,45,44,44,,44,44,44,45,45,44,44,44,44,44,56
AORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,52,,,,,,52,52,52,52,52,52,55,57,57,57,57,,57,57,57,,57,57,57,57,56,56,56,56,56,56,56,56
ASAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,46,,,,46,,46,46,45,45,45,45,45,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
ASX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,69,69
